problem	cat	numsurveys	numrespondents	perc	year	month	quarter
13	1	0	0	2.0906666	1940	1	1
14	1	0	0	.15333334	1940	1	1
15	1	0	0	.01133333	1940	1	1
1	6	0	0	29.960332	1940	1	1
2	6	0	0	.14466667	1940	1	1
3	6	0	0	.076	1940	1	1
4	6	0	0	.89866666	1940	1	1
5	6	0	0	.16666667	1940	1	1
6	6	0	0	.24166667	1940	1	1
7	6	0	0	0	1940	1	1
8	6	0	0	0	1940	1	1
9	6	0	0	.32999999	1940	1	1
10	6	0	0	.03433333	1940	1	1
12	6	0	0	.58200001	1940	1	1
13	6	0	0	5.3616665	1940	1	1
14	6	0	0	.44399999	1940	1	1
15	6	0	0	.50266668	1940	1	1
16	6	0	0	21.243667	1940	1	1
17	6	0	0	0	1940	1	1
18	6	0	0	.179	1940	1	1
19	6	0	0	30.294332	1940	1	1
20	6	0	0	6.0183333	1940	1	1
21	6	0	0	0	1940	1	1
22	6	0	0	3.3563333	1940	1	1
23	6	0	0	.15333334	1940	1	1
24	6	0	0	.01133333	1940	1	1
1	1	0	0	26.412667	1940	4	2
2	1	0	0	5.0216665	1940	4	2
3	1	0	0	.068	1940	4	2
4	1	0	0	.30966666	1940	4	2
5	1	0	0	9.7120003	1940	4	2
6	1	0	0	46.211333	1940	4	2
7	1	0	0	.227	1940	4	2
8	1	0	0	0	1940	4	2
9	1	0	0	1.3123333	1940	4	2
10	1	0	0	8.1176666	1940	4	2
11	1	0	0	.23733333	1940	4	2
12	1	0	0	.09066667	1940	4	2
13	1	0	0	2.1803333	1940	4	2
14	1	0	0	.07666667	1940	4	2
15	1	0	0	.02266667	1940	4	2
1	6	0	0	27.647666	1940	4	2
2	6	0	0	.15833334	1940	4	2
3	6	0	0	.141	1940	4	2
4	6	0	0	.87933334	1940	4	2
5	6	0	0	.16933334	1940	4	2
6	6	0	0	.15533334	1940	4	2
7	6	0	0	0	1940	4	2
8	6	0	0	0	1940	4	2
9	6	0	0	.57799998	1940	4	2
10	6	0	0	.06866667	1940	4	2
12	6	0	0	.36	1940	4	2
13	6	0	0	4.1083333	1940	4	2
14	6	0	0	.239	1940	4	2
15	6	0	0	.42333335	1940	4	2
16	6	0	0	32.104334	1940	4	2
17	6	0	0	0	1940	4	2
18	6	0	0	.227	1940	4	2
19	6	0	0	21.029666	1940	4	2
20	6	0	0	8.1176666	1940	4	2
21	6	0	0	0	1940	4	2
22	6	0	0	3.4926666	1940	4	2
23	6	0	0	.07666667	1940	4	2
24	6	0	0	.02266667	1940	4	2
1	1	1	2907	24.200001	1940	7	3
2	1	1	2907	3.474	1940	7	3
3	1	1	2907	.069	1940	7	3
4	1	1	2907	.17200001	1940	7	3
5	1	1	2907	13.152	1940	7	3
6	1	1	2907	44.432999	1940	7	3
7	1	1	2907	.27500001	1940	7	3
8	1	1	2907	0	1940	7	3
9	1	1	2907	1.359	1940	7	3
10	1	1	2907	10.217	1940	7	3
11	1	1	2907	.241	1940	7	3
12	1	1	2907	.103	1940	7	3
13	1	1	2907	2.27	1940	7	3
14	1	1	2907	0	1940	7	3
15	1	1	2907	.034	1940	7	3
101	2	1	2907	2.7179999	1940	7	3
102	2	1	2907	17.594999	1940	7	3
103	2	1	2907	0	1940	7	3
104	2	1	2907	.069	1940	7	3
105	2	1	2907	.37799999	1940	7	3
106	2	1	2907	1.273	1940	7	3
107	2	1	2907	.34400001	1940	7	3
108	2	1	2907	.069	1940	7	3
109	2	1	2907	.31	1940	7	3
110	2	1	2907	1.4450001	1940	7	3
201	2	1	2907	.206	1940	7	3
202	2	1	2907	.722	1940	7	3
203	2	1	2907	.069	1940	7	3
204	2	1	2907	.034	1940	7	3
205	2	1	2907	.069	1940	7	3
206	2	1	2907	0	1940	7	3
207	2	1	2907	1.789	1940	7	3
